Type_OSM,id_OSM,lon,lat,tuple Lat-lon,Catégories,Sous_Cat,name
node,5062882135,3.0977644,50.6244562,"(50.6244562,3.0977644)",Slow_transport,bicycle_parking,1 Rue du Chevalier de la Barre
node,10028391269,3.0694886,50.6202744,"(50.6202744,3.0694886)",Entertainment,fast_food,1000 Pâtes
node,9683425653,3.0437168,50.6316521,"(50.6316521,3.0437168)",Entertainment,fast_food,121 Food street
node,5573934058,3.0992739,50.6248791,"(50.6248791,3.0992739)",Slow_transport,bicycle_parking,128 Rue Chanzy
node,5635635119,3.1104683,50.6282617,"(50.6282617,3.1104683)",Slow_transport,bicycle_parking,14 Rue du Théatre de Verdure
node,4732035051,3.1016915,50.6225839,"(50.6225839,3.1016915)",Slow_transport,bicycle_parking,162 Rue Ferdinand Mathias
node,5062882136,3.0976826,50.6244477,"(50.6244477,3.0976826)",Slow_transport,bicycle_parking,2 Rue du Chevalier de la Barre
node,5062882137,3.1005913,50.6250251,"(50.6250251,3.1005913)",Slow_transport,bicycle_parking,215 Rue Chanzy
node,9985932828,3.0622238,50.6330646,"(50.6330646,3.0622238)",Daily_Life,hairdresser,235 Barber Street
node,5573934056,3.0990562,50.6247401,"(50.6247401,3.0990562)",Slow_transport,bicycle_parking,247 Rue Ferrer
node,5573934057,3.0989420,50.6247156,"(50.6247156,3.0989420)",Slow_transport,bicycle_parking,249 Rue Ferrer
node,3002299471,3.0604380,50.6307594,"(50.6307594,3.0604380)",Daily_Life,hairdresser,2nd Street
node,4442146051,3.0692959,50.6361629,"(50.6361629,3.0692959)",Entertainment,restaurant,3 Brasseurs
node,5252920083,3.1115606,50.6281934,"(50.6281934,3.1115606)",Slow_transport,bicycle_parking,31T Rue Faidherbe
node,5788114779,3.0162586,50.6426699,"(50.6426699,3.0162586)",Entertainment,fast_food,411 Avenue Burger
node,9160545170,3.0573017,50.6403932,"(50.6403932,3.0573017)",Entertainment,restaurant,49R
node,9925441198,3.0236740,50.6329841,"(50.6329841,3.0236740)",Slow_transport,bicycle_parking,5 arceaux
node,8245616031,3.0224444,50.6332693,"(50.6332693,3.0224444)",Slow_transport,bicycle_parking,5 arceaux pour 10 vélos
