,Tribunal,government,Décheterie,public,Departement,Mairie,beauty,arts_centre,cinema,music_school,community_centre,library,museum,theatre,alcohol,bakery,bank,butcher,car,cheese,chocolate,deli,florist,greengrocer,hairdresser,laundry,marketplace,optician,pastry,pharmacy,seafood,supermarket,tobacco,College,Crèche,Lycée,Maternelle,Primaire,University,bar,cafe,casino,commercial,fast_food,food_court,nightclub,pub,restaurant,zoo,dentist,doctors,hospital,laboratory,attraction,hotel,office,park,playground,Pompier,police,post_office,platform,station,church,mosque,cathedral,antiques,books,clothes,convenience,cosmetics,electronics,fashion_accessories,furniture,garden_centre,interior_decoration,jewelry,mall,music,musical_instrument,perfumery,retail,shoes,tea,travel_agency,vacant,vacuum_cleaner,watches,wine,bicycle_parking,bicycle_rental,fitness_centre,sports,sports_centre,sports_hall,swimming_pool,Prix m2,lat,lon
0,2,4,0,0,2,0,32,2,6,2,4,2,6,2,20,42,0,8,0,6,24,36,16,0,80,0,2,52,10,28,4,28,0,2,4,6,4,6,40,264,130,0,2,186,4,12,16,458,2,64,4,0,8,378,42,22,18,20,0,0,10,74,2,10,0,2,6,26,378,2,20,0,6,0,0,38,66,2,6,16,16,18,80,6,28,0,0,10,6,478,62,8,14,6,0,4,6419.59,50.640019,3.055264
1,0,0,0,0,0,0,0,6,0,0,8,2,2,4,0,20,0,4,2,0,0,0,2,0,22,6,0,0,0,12,0,2,0,4,2,4,6,6,0,2,22,0,0,24,0,0,2,16,0,2,10,0,2,0,2,0,10,18,0,0,2,60,6,6,2,0,2,0,4,6,0,0,0,0,0,4,0,0,0,0,2,14,0,0,0,0,0,0,0,202,16,2,0,0,0,2,1933.13,50.623805,3.096227
2,0,0,0,2,0,0,18,2,0,4,6,6,4,8,10,34,0,22,2,6,2,10,10,6,36,2,4,16,8,24,6,26,4,10,0,4,2,8,44,168,58,0,2,124,0,8,12,160,2,38,10,2,10,16,6,8,12,22,0,2,8,78,8,10,0,0,2,10,30,0,2,0,0,0,0,2,6,0,6,6,0,16,2,4,4,0,0,2,0,440,52,8,8,6,0,2,3978.26,50.631589,3.042576
3,2,2,0,1,0,6,40,6,8,8,8,6,10,14,16,48,0,30,2,8,4,20,16,6,124,2,4,40,14,38,4,52,2,4,12,8,4,10,58,268,134,0,2,238,6,14,18,368,0,52,28,2,18,120,20,4,8,20,4,4,14,100,12,12,0,0,2,36,140,6,10,2,0,2,2,8,18,0,14,6,4,7,40,4,26,2,0,4,2,778,65,26,12,12,0,0,3707.39,50.627481,3.062281
4,1,1,0,2,0,0,11,2,1,4,5,3,5,6,7,23,0,16,1,4,1,8,5,3,45,1,2,8,7,16,3,20,4,1,4,3,2,4,14,125,50,0,1,105,1,7,10,147,0,20,9,1,7,19,4,4,5,13,2,0,6,54,6,4,1,0,1,9,22,3,1,1,0,1,1,3,5,0,5,2,1,6,3,2,8,1,0,1,0,345,30,10,3,10,0,0,4724.9,50.624764,3.058584
5,0,0,0,1,0,0,2,2,0,1,4,3,3,1,4,17,0,10,2,3,1,5,3,4,9,2,2,4,3,11,3,8,1,4,3,3,2,6,19,31,23,0,0,35,0,0,2,41,0,13,3,3,2,5,1,2,3,26,0,1,6,44,3,4,0,0,0,2,6,0,0,0,0,0,0,0,1,0,1,2,0,9,1,1,2,0,0,1,0,180,18,4,2,6,0,1,5134.59,50.626158,3.037487
6,0,0,0,1,0,0,9,1,0,2,4,3,2,5,7,21,0,13,3,3,1,7,6,4,30,2,2,7,5,17,3,20,4,5,2,3,1,4,21,81,37,0,1,69,0,1,8,100,0,14,3,3,3,8,3,5,5,24,1,1,8,51,6,5,1,0,1,6,18,0,1,0,0,0,1,1,4,0,4,3,0,11,3,2,4,0,0,1,0,272,27,8,4,6,0,1,5906.77,50.625517,3.045792
7,1,2,0,0,1,0,22,1,3,1,2,2,4,5,10,27,0,5,0,3,12,19,10,1,59,0,1,28,5,16,2,22,0,1,2,4,3,3,26,158,74,0,1,122,2,7,12,275,1,37,2,0,5,211,30,9,8,8,0,0,6,44,2,5,0,1,3,17,197,1,11,0,3,0,0,19,35,1,4,8,8,14,45,4,18,0,0,5,4,289,34,8,8,2,0,2,4510.94,50.638434,3.055855
8,0,0,0,1,0,0,0,5,0,0,5,3,1,3,0,14,0,6,1,0,0,0,2,0,16,3,1,1,0,12,0,5,0,3,2,2,3,4,0,12,17,0,0,15,0,0,1,17,0,1,6,0,1,0,0,0,7,8,0,1,1,36,4,5,1,0,1,1,4,3,0,0,0,0,0,1,1,0,0,0,1,9,0,0,0,0,0,0,0,158,9,1,0,1,0,2,1956.26,50.627094,3.099075
9,1,0,0,1,0,0,10,3,1,4,5,1,3,5,6,22,0,16,1,4,1,7,5,4,38,2,2,9,7,16,3,19,4,2,2,4,1,4,6,69,46,0,0,64,0,2,6,97,0,12,3,3,2,7,3,3,6,21,2,2,5,49,5,2,1,0,1,6,22,2,2,1,0,1,1,2,6,1,4,2,0,7,4,2,6,1,0,1,0,275,22,9,4,9,0,0,3568.18,50.62256,3.053785
