,id_parcelle,code_type_local,lon,lat,adresse_complete,prix_m2
0,593503550C7122,2.0,3.002604,50.631278,RUE DE L EGALITE 59160,2470.7
1,593503550C7052,1.0,3.008105,50.6275,17 RUE JEAN BAPTISTE DUMAS 59160,3059.57
2,593503550C7045,1.0,3.016209,50.63755,84 RUE DU VINGTIEME SIECLE 59160,3246.05
3,593503550C7014,1.0,3.016195,50.64108,21 RUE DU COEUR JOYEUX 59160,1892.38
4,593503550C7010,2.0,3.009664,50.635156,74 RUE ANATOLE FRANCE LOMME 59160,4007.58
5,593503550C7002,1.0,3.011029,50.634286,34 RUE JEAN JACQUES ROUSSEAU LOMM 59160,2982.0
6,593503550C6977,2.0,3.012204,50.643422,232 RUE JEAN JAURES LOMME 59160,3569.03
7,593503550C6976,1.0,3.0132,50.643887,5 RUE DE LA GARE LOMME 59160,2652.28
8,593503550C6975,2.0,3.017946,50.641124,359 AV DE DUNKERQUE LOMME 59160,4781.58
9,593503550C6970,1.0,3.013725,50.62867,20 RUE DES BLANCHISSEURS 59160,2678.6
10,593503550C6964,2.0,3.005092,50.630183,43 RUE HENRI BAILLEUX 59160,3089.25
11,593503550C6959,2.0,3.020789,50.63089,2 RUE HEGEL LOMME 59160,4025.38
12,593503550C6956,1.0,3.01458,50.641666,45 AV DE MONT A CAMP LOMME 59160,3703.98
13,593503550C6940,2.0,3.013134,50.634401,5 RUE VICTOR SCHOELCHER 59160,2815.72
14,593503550C6835,2.0,3.009646,50.63312,76 RUE MARTYRS DE RESISTANCE 59160,9187.5
15,593503550C6829,2.0,3.014286,50.633448,14 RUE VICTOR SCHOELCHER 59160,3186.13
16,593503550C6828,2.0,3.01304,50.632834,6 RUE VICTOR SCHOELCHER 59160,4069.69
17,593503550C6827,2.0,3.011881,50.633478,2 RUE VICTOR SCHOELCHER 59160,4338.4
18,593503550C6789,2.0,3.014802,50.630848,26 AV DES SAULES 59160,4192.63
19,593503550C6782,2.0,3.013989,50.630435,30 AV DES SAULES 59160,2282.84
20,593503550C6716,1.0,3.005868,50.633392,1 RUE VICTOR HUGO LOMME 59160,4407.7
21,593503550C6697,1.0,3.009248,50.632774,1 RUE CONDORCET LOMME 59160,2305.28
22,593503550C6690,2.0,3.013418,50.641631,209 RUE JEAN JAURES LOMME 59160,3107.66
23,593503550C6685,1.0,3.005366,50.628769,52 RUE ALEXANDRE DESROUSSEAUX LOM 59160,3759.71
24,593503550C6684,1.0,3.005562,50.628862,52 RUE ALEXANDRE DESROUSSEAUX LOM 59160,2933.65
25,593503550C6640,2.0,3.019666,50.631018,18 ALL DE LA HAYE DU TEMPLE 59160,4959.49
26,593503550C6616,2.0,3.021708,50.637419,291 AV DE DUNKERQUE LOMME 59160,2504.34
27,593503550C6598,2.0,3.004576,50.628554,52 RUE ALEXANDRE DESROUSSEAUX LOM 59160,2220.13
28,593503550C6522,2.0,3.008968,50.63229,33 RUE DU DOCTEUR MENARD 59160,3565.73
29,593503550C6508,1.0,2.998328,50.629782,121 RUE DE L EGALITE 59160,2108.86
30,593503550C6492,1.0,3.018505,50.63697,52 RUE JEAN JAURES LOMME 59160,2879.02
31,593503550C6491,2.0,3.018093,50.637818,68 RUE JEAN JAURES LOMME 59160,2930.56
32,593503550C6486,1.0,3.004759,50.634412,60 RUE CHARLES SAINT VENANT LOMME 59160,2745.45
33,593503550C6476,1.0,3.017081,50.641728,5 CITE ST ARNOULD AVE DUNKERQUE 59160,2962.15
34,593503550C6339,1.0,3.015223,50.629718,287 AV ARTHUR NOTEBART 59160,3068.51
35,593503550C6337,1.0,3.015198,50.62977,285 AV ARTHUR NOTEBART 59160,2385.1
36,593503550C6333,1.0,3.014965,50.629805,281 AV ARTHUR NOTEBART 59160,2450.27
37,593503550C6331,1.0,3.015473,50.630149,30 RUE SADI CARNOT 59160,2960.5
38,593503550C6323,1.0,3.015666,50.630028,22 RUE SADI CARNOT 59160,1440.26
39,593503550C6282,2.0,2.999182,50.629682,118 RUE DE L EGALITE 59160,1647.83
40,593503550C6258,1.0,3.005561,50.6346,38 RUE CHARLES SAINT VENANT LOMME 59160,3554.56
41,593503550C6247,1.0,3.008438,50.63513,75 RUE ANATOLE FRANCE LOMME 59160,3558.1
42,593503550C6177,2.0,3.007763,50.637676,10 RUE ANCIENNE BALATERIE 59160,4183.1
43,593503550C6161,2.0,3.019757,50.638704,9001 RES DES PEUPLIERS 59160,3039.55
44,593503550C6160,2.0,3.009229,50.630809,57 RUE VICTOR HUGO LOMME 59160,2702.65
45,593503550C6149,1.0,3.019186,50.638132,1 RUE VINCENT AURIOL 59160,5061.92
46,593503550C6142,2.0,3.017029,50.639229,109 RUE DU VINGTIEME SIECLE 59160,4386.04
47,593503550C6137,1.0,3.015957,50.637352,72 RUE DU VINGTIEME SIECLE 59160,2424.59
48,593503550C6135,2.0,3.009146,50.628361,56 RUE DU DOC LEPAN 59160,7029.37
49,593503550C6010,2.0,3.013482,50.632809,64 RUE PHILIPPE DE GIRARD LOMME 59160,2580.29
50,593503550C6009,2.0,3.01438,50.63324,32 RUE PHILIPPE DE GIRARD LOMME 59160,2932.26
51,593503550C6007,1.0,3.008161,50.639458,113 AV DE MONT A CAMP LOMME 59160,2111.39
52,593503550C5985,1.0,3.006399,50.635064,12 RUE CHARLES SAINT VENANT LOMME 59160,3125.38
53,593503550C5665,2.0,3.01313,50.631163,261 AV ARTHUR NOTEBART 59160,3956.59
54,593503550C5661,1.0,3.013879,50.631085,17 IMP JACQUART LOMME 59160,2756.74
55,593503550C5657,1.0,3.013853,50.631194,13 IMP JACQUART LOMME 59160,3204.48
56,593503550C5655,1.0,3.013812,50.63123,11 IMP JACQUART LOMME 59160,4098.46
57,593503550C5653,1.0,3.013764,50.631261,9 IMP JACQUART LOMME 59160,3591.01
58,593503550C5620,2.0,3.004613,50.628873,50 RUE ALEXANDRE DESROUSSEAUX LOM 59160,4379.39
59,593503550C5619,2.0,3.004461,50.629071,50 RUE ALEXANDRE DESROUSSEAUX LOM 59160,3876.29
60,593503550C5617,1.0,3.00612,50.632217,50 RUE DE LA LIBERTE LOMME 59160,2876.94
61,593503550C5584,1.0,3.013521,50.640751,189 RUE HENRI GHESQUIERE LOMME 59160,5426.97
62,593503550C5557,1.0,3.017319,50.640781,10 AV DE LA REPUBLIQUE LOMME 59160,3892.83
63,593503550C5502,1.0,3.016421,50.637318,75 RUE HENRI GHESQUIERE LOMME 59160,2165.67
64,593503550C5495,1.0,3.008185,50.636077,4 RUE CHARLES SAINT VENANT LOMME 59160,2967.17
65,593503550C5491,1.0,3.008583,50.63621,2 RUE CHARLES SAINT VENANT LOMME 59160,3496.37
66,593503550C5475,1.0,3.015844,50.636748,45 RUE DU VINGTIEME SIECLE 59160,2944.92
67,593503550C5468,2.0,3.011695,50.63641,69 RUE DU MARECHAL FOCH 59160,3297.54
68,593503550C5411,2.0,3.014843,50.640152,54 AV DE LA REPUBLIQUE LOMME 59160,8506.59
69,593503550C5351,2.0,3.015587,50.641927,25 AV DE MONT A CAMP LOMME 59160,4539.41
70,593503550C5335,1.0,3.002934,50.630563,12 RUE DU PARADIS 59160,2740.66
71,593503550C5297,1.0,3.002426,50.630877,8 RUE GUYNEMER LOMME 59160,4441.06
72,593503550C5264,1.0,3.006253,50.629243,61 RUE ALEXANDRE DESROUSSEAUX LOM 59160,3174.47
73,593503550C5261,1.0,3.006157,50.628906,55 RUE ALEXANDRE DESROUSSEAUX LOM 59160,2793.87
74,593503550C5259,1.0,3.006293,50.628849,51 RUE ALEXANDRE DESROUSSEAUX LOM 59160,2845.26
75,593503550C5212,1.0,3.009126,50.632566,54 RUE MARTYRS DE RESISTANCE 59160,3600.94
76,593503550C5189,1.0,3.016247,50.626309,220 RUE VICTOR HUGO LOMME 59160,2295.9
77,593503550C5153,1.0,3.011468,50.641732,22 RUE DE LA PAIX DU 8 MAI 1945 59160,2276.73
78,593503550C5120,2.0,3.009811,50.639621,9001 RES CLAUDE DEBUSSY 59160,1814.6
79,593503550C5081,1.0,3.008413,50.633958,12 IMP THERMOTTE 59160,3355.53
80,593503550C5080,1.0,3.008438,50.633922,14 IMP THERMOTTE 59160,3269.55
81,593503550C5055,1.0,3.015223,50.637468,3 RES DES LAURIERS 59160,3234.09
82,593503550C5054,1.0,3.015576,50.637487,69 RUE DU VINGTIEME SIECLE 59160,3738.82
83,593503550C5049,1.0,3.016005,50.637893,93 RUE HENRI GHESQUIERE LOMME 59160,4362.66
84,593503550C5036,2.0,3.010783,50.635215,86 RUE ANATOLE FRANCE LOMME 59160,4647.02
85,593503550C4904,1.0,3.013716,50.63843,14 RUE LEON CREPY 59160,3210.14
86,593503550C4822,2.0,3.00461,50.632559,16 RUE DE L EGALITE 59160,2943.08
